param n_roomsets := 10;
param n_groups := 10;

# each roomset refers to some set of spots
# single has capacity 1, double 2, suite 9 e.g.
param capacity :=
1 4 2 1 3 9 4 2 5 2 6 1 7 3 8 1 9 5 10 1;

param groupsize :=
1 2 2 2 3 3 4 1 5 6 6 2 7 1 8 4 9 2 10 3; 

param utility: 1 2 3 4 5 6 7 8 9 10 := 
1 	0 0 0 0 5 0 4 0 3 0
2 	0 0 3 0 0 4 2 0 0 0 
3 	0 4 0 0 0 0 2 0 0 0
4   2 4 0 3 0 0 0 0 0 0
5   0 0 0 1 2 0 0 0 0 0
6   4 1 5 0 3 0 0 0 0 0
7   0 5 0 0 4 2 0 3 1 0
8   2 0 0 0 1 0 0 0 4 0
9   0 0 0 0 0 3 0 0 0 1 
10  0 0 0 0 5 2 0 0 0 0;
