# these numbers must be the same in this formulation
param n_rooms := 20;
param n_people := 20;
param n_preferences := 5;

# room number prereferces
param preferences: 1 2 3 4 5 := 
1       5	7	19	13	9	
2       16	6	3	6	18	
3       14	2	15	7	14	
4       15	2	4	2	16	
5       18	5	18	13	5	
6       3	1	5	15	3	
7       2	5	8	6	9	
8       13	9	12	1	5	
9       19	17	6	13	10	
10      5	17	19	5	14	
11      5	17	12	1	15	
12      16	18	4	4	4	
13      9	8	13	4	15	
14      6	8	3	11	14	
15      12	18	19	16	14	
16      17	4	12	6	13	
17      16	17	13	3	14	
18      3	12	17	4	1	
19      4	12	3	11	11	
20      14	14	16	12	18
;

param weights :=
1   5
2   4
3   3
4   2
5   1
;
